"","age","total.working.exp","current.exp","base_salary","compensation","General.Question","Work.life.Balance_1","Work.life.Balance_2","Heavy.Workload_1","Heavy.Workload_2","Management_1","Management_2","quit_1","women.senior_1","women.senior_2","women.senior_3","women.senior_4","role.model_1","market.value_1","Salary.Negotiation_1","Salary.Negotiation_2","Salary.Negotiation_3","gender","level","review","feedback","combined_company","combined_location","standard_race","standard_edu","num_level","coded_general","competitive","comfortable","wlb","workload","manage","negotiation","logged_base","logged_compensation"
"54",46,10,5,49467,6000,2,-1,1,1,-1,-1,1,1,1,2,2,1,1,1,1,-1,2,"Male","Manager or higher","They overworked you.","This was a nice survey I hope that it pays honestly","unknown","California ","Underrepresented Racial Groups","Non-BA education",3,0,1,-1,0,0,0,0.666666666666667,10.8090812748619,8.69968140098951
"55",84,39,39,60000,150,2,1,1,-1,1,1,1,2,1,1,1,1,-1,1,1,1,1,"Male","Senior","Long hours, frequent call ins difficult problems but the self satisfaction  makes it all well worth while!","","unknown","unknown","White","Non-BA education",2,0,0,0,1,0,1,1,11.002116507732,5.01727983681492
"56",46,5,5,10000,50000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Male","Manager or higher","It's extremely good and better ","It's extremely good and better ","Walmart ","Los Angeles ","Underrepresented Racial Groups","MA or higher",3,1,0,0,2,2,2,2,9.21044036697652,10.8197982842103
"57",68,20,10,147000,25000,2,1,1,1,2,2,-2,2,1,2,1,2,-2,1,2,2,2,"Male","Manager or higher","I love  it have been  doing  this  for  years ","","Ashley  enterprises ","Pittsburgh ","White","MA or higher",3,0,0,0,1,1.5,0,2,11.8981946684588,10.1266711030504
"58",72,40,4,68000,10000,2,1,-2,-1,1,1,-1,1,1,1,1,1,1,2,1,1,1,"Male","Senior","It is a career I have enjoyed for over 39 years","","unknown","San Antonio Texas","White","Non-BA education",2,0,0,0,-0.5,0,0,1,11.1272776899325,9.21044036697652
"59",45,15,12,1e+05,50000,2,1,-1,2,1,2,-1,1,1,2,1,2,-1,1,1,1,2,"Male","Manager or higher","The experience so far as being good although very frustrating sometimes to the extent that you might be doing a project and be lost apart from that the issue of work overload is very enormous and something to talk about but once you get the passion it gets it moving","The survey is very interesting and excellent Keep it up","Microsoft ","United States ","White","MA or higher",3,0,0,0,0,1.5,0.5,1.33333333333333,11.5129354649202,10.8197982842103
"60",72,20,20,52000,20000,2,1,-1,-1,1,1,-1,2,-1,1,-1,1,-1,1,2,1,1,"Male","Manager or higher","It is a challenge sometimes, but rewarding also. ","None that I  can  think of.","Persons Auto Repair","Kalamazoo","White","Non-BA education",3,0,0,0,0,0,0,1.33333333333333,10.8590182281479,9.90353755128617
"61",83,40,22,149000,165000,2,-2,-2,1,1,1,-1,2,2,1,1,1,1,-1,2,1,1,"Male","Manager or higher","BEST OF ALL JOBS  ABLE TO DEVELOP AND IMPLEMENT ASSIGNMENT FROM START TO FINISH.  SOLVE PORBLEMS APPLYIINGEXPERIENCE AND SOUND LOGICAL APPLICTION OF DEVELOPING APPLICATIONS TO IMPROVE  CONDITIONS  AND RAPID RESPONSE TO ISSUES
 ","BELIEVE IN STRON TEAM WORK OT EXPAND AND ATTAIN GOALS","HONEYWELL","BOSTON","White","BA",3,0,-1,0,-2,1,0,1.33333333333333,11.9117082963145,12.0137068134704
"62",84,2,0,75000,0,2,1,1,1,2,1,-1,2,2,2,2,2,1,-1,1,2,2,"Male","Manager or higher","Designing software is designing the future.","","unknown","unknown","White","BA",3,0,0,0,1,1.5,0,1.66666666666667,11.2252567257629,0
"63",75,50,3,150000,2e+05,2,1,-2,1,2,2,-2,2,1,2,1,2,1,1,1,2,2,"Male","Manager or higher","feeling of accomplishment","","unisys","blue bell pa","White","MA or higher",3,0,0,0,-0.5,1.5,0,1.66666666666667,11.9183972397228,12.2060776455177
"64",47,20,15,250000,3e+05,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Male","Senior","It is very great and reliable","Great and reliable","Information technology","California","White","MA or higher",2,0,0,0,1,1,1,1,12.4292201968364,12.6115410869661
"65",42,9,9,10000,500,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,"Male","Senior","It's a good company and it has exposed me to my opportunity in life","It's a good survey for me and it's helpful ","Insurance companies ","New York","White","MA or higher",2,1,0,0,2,1.5,1.5,1.33333333333333,9.21044036697652,6.21660610108486
